rank of	rank:80,80,;
the past	the:82,92,82,92,;
publication in	publication:44,44,;
the desire	the:97,;
performance and	performance:67,67,;
or to	or:97,97,;
scheme ddc	scheme:50,;
describe to	describe:71,;
at a	at:67,90,90,67,90,90,;
remote stations	remote:16,;
177 paper	177:91,;
have advantage	have:72,;
and managers	and:70,;
decision and	decision:69,;
clause is	clause:77,;
in detail	in:73,85,73,85,;
author and	author:32,91,32,;
and periodical	and:30,;
local and	local:81,81,;
of automation	of:40,45,45,45,46,53,53,54,40,45,45,45,46,53,53,54,;
fragment to	fragment:79,;
application operate	application:63,;
tend to	tend:76,91,91,;
translating compuyter	translating:99,;
broad spectrum	broad:83,83,;
being published	being:44,;
question be	question:88,;
experimental tests	experimental:87,;
times for	times:87,;
augument or	augument:93,;
a english	a:93,;
provide manager	provide:70,;
be ultimately	be:57,;
smart type	smart:84,84,;
objectives of	objectives:55,;
models the	models:70,;
variety of	variety:72,104,72,104,;
we offer	we:97,97,;
the approach	the:68,86,68,86,;
resulting map	resulting:109,;
staff decision	staff:69,;
4 million	4:92,92,;
the byproduct	the:7,7,;
database to	database:92,;
queries that	queries:79,;
the general	the:80,85,88,80,85,88,;
systems using	systems:102,;
mean expect	mean:106,;
so in	so:48,90,48,90,;
that a	that:48,50,78,90,48,50,78,90,;
and canadian	and:92,92,;
analyze recent	analyze:96,;
processing approaches	processing:70,;
perform extensive	perform:108,;
mathematics engineering	mathematics:48,48,;
specifically those	specifically:68,;
which weight	which:62,;
view followed	view:94,;
query they	query:97,;
even executive	even:39,;
aim and	aim:55,;
selected independently	selected:72,;
major component	major:52,76,;
matrix the	matrix:68,68,;
speak word	speak:6,;
model a	model:80,;
space from	space:64,64,;
amount of	amount:23,41,44,23,41,44,;
describe current	describe:110,110,;
threshold value	threshold:96,;
system computerized	system:27,;
and implementation	and:98,103,98,103,;
paper examines	paper:74,;
such as	such:48,56,63,67,83,48,56,63,67,83,;
aid for	aid:98,;
and function	and:54,54,;
one encyclopedia	one:59,59,;
insurmountable limitations	insurmountable:40,;
dissemination system	dissemination:13,15,;
subscription to	subscription:89,;
comparison specifically	comparison:68,;
advanced interface	advanced:99,;
utilizes descriptors	utilizes:51,;
information has	information:57,;
root to	root:67,;
and help	and:39,39,;
system code	system:19,;
draw on	draw:108,108,;
getting started	getting:70,;
interface operation	interface:99,99,;
recorded in	recorded:77,;
what article	what:43,;
of fuzzy	of:62,62,;
all author	all:90,;
material cross	material:47,;
are omitted	are:64,;
be generate	be:104,;
are translated	are:98,;
operations in	operations:81,;
referred to	referred:90,;
of automatically	of:4,4,;
involve compare	involve:68,;
one must	one:63,63,;
which cocitation	which:91,;
the others	the:68,;
in they	in:91,;
be through	be:56,;
record in	record:77,79,97,107,107,;
the relationships	the:65,;
scientist serve	scientist:90,;
with respect	with:109,109,109,109,;
that correspond	that:59,59,;
provide instruction	provide:98,;
identify those	identify:90,;
limitation or	limitation:40,;
be descriptive	be:37,;
everything it	everything:75,75,;
by journal	by:30,;
classified documents	classified:67,;
reference process	reference:94,94,;
they for	they:71,;
employee than	employee:110,110,;
storage experimental	storage:87,87,;
on libraries	on:45,;
query this	query:104,;
five major	five:67,67,;
be associate	be:73,;
match and	match:18,;
relationally is	relationally:82,;
describes an	describes:83,;
an international	an:40,47,47,;
combining concepts	combining:90,;
involve enter	involve:91,;
is through	is:56,;
improved evaluation	improved:97,;
of science	of:71,109,71,109,;
applications using	applications:88,;
question the	question:72,72,;
or practices	or:46,;
well establish	well:86,;
what special	what:5,5,;
probability of	probability:67,67,;
correct section	correct:67,;
actual experience	actual:85,;
this method	this:93,;
do use	do:109,;
response to	response:2,2,;
in this	in:49,58,65,73,81,82,82,95,109,58,65,73,81,82,95,109,;
first briefly	first:102,102,;
primary information	primary:106,106,106,106,;
controlled by	controlled:77,;
traditional worker	traditional:39,;
is oriented	is:85,;
terms included	terms:110,;
retrieve sentence	retrieve:72,;
acquisition serial	acquisition:46,;
demonstrated in	demonstrated:61,;
different structures	different:36,;
his home	his:66,;
overall it	overall:106,106,;
process the	process:70,111,70,;
mechanism this	mechanism:97,;
cocitations occur	cocitations:91,;
compare several	compare:68,;
which regularly	which:47,47,;
remote station	remote:16,;
and distribute	and:58,58,;
or researcher	or:42,42,;
set theory	set:95,95,;
is transformed	is:77,;
a retrieval	a:107,107,;
restructuring requirements	restructuring:69,;
serve as	serve:63,73,63,73,;
in catalog	in:57,;
favourably with	favourably:84,84,;
which draw	which:108,108,;
on judgement	on:61,;
are of	are:101,;
x be	x:80,;
several records	several:73,;
tackles the	tackles:104,;
many exist	many:85,;
manager with	manager:70,;
indexed document	indexed:105,105,;
boolean system	boolean:62,62,95,95,62,95,;
and retrain	and:39,;
technology be	technology:66,;
is derived	is:87,111,;
be considered	be:78,;
with database	with:81,81,;
consider to	consider:40,41,90,;
b be	b:90,;
and found	and:37,;
words tell	words:48,;
what system	what:16,;
distortion of	distortion:64,64,;
arises from	arises:112,;
on librarian	on:54,;
of parallel	of:101,101,101,101,;
concerning the	concerning:81,;
three type	three:66,;
out that	out:58,58,;
that process	that:58,58,;
the relationship	the:65,107,109,107,109,;
in improve	in:110,;
power in	power:101,101,;
extensive help	extensive:108,108,;
and they	and:60,71,77,81,;
acquisition and	acquisition:76,76,;
mechanism for	mechanism:96,;
two order	two:60,;
needs while	needs:63,;
the attitudes	the:39,;
physical objective	physical:64,64,;
and then	and:7,77,7,77,;
appear that	appear:96,;
criterion which	criterion:97,;
changes are	changes:54,;
toward centralization	toward:58,58,;
were formed	were:91,;
understanding system	understanding:75,85,85,75,85,;
shift in	shift:80,80,;
by searchonym	by:93,;
indicator that	indicator:59,;
indexing utilizes	indexing:51,;
adaption and	adaption:70,70,;
documents that	documents:65,84,;
occurs in	occurs:90,;
component items	component:71,;
retrieved on	retrieved:91,;
on the	on:8,44,46,46,54,63,71,77,90,102,8,44,46,46,54,63,71,77,90,102,;
method consists	method:93,;
serve by	serve:90,;
the linkage	the:60,60,;
describe the	describe:69,97,97,103,97,97,;
all concepts	all:90,;
request be	request:98,;
in existing	in:83,;
relationally be	relationally:82,;
record be	record:53,;
term represent	term:112,;
nomenclature term	nomenclature:67,;
cost associate	cost:26,;
demonstrate in	demonstrate:61,;
as technology	as:66,66,;
analytic causal	analytic:91,91,;
training and	training:39,39,;
be understand	be:42,;
about the	about:45,65,90,45,65,90,;
cascaded atn	cascaded:78,;
western ontario	western:107,107,;
establish means	establish:47,;
to normalize	to:67,67,;
systems which	systems:33,88,106,;
create in	create:106,106,;
describe this	describe:65,;
the vary	the:95,;
measure based	measure:60,;
a general	a:80,83,85,91,80,83,85,91,;
a specialized	a:48,48,;
for any	for:81,81,;
designed using	designed:70,;
result compare	result:84,;
such lexical	such:81,81,;
signs of	signs:91,;
query language	query:88,88,88,;
upon a	upon:71,71,;
to data	to:70,;
been tried	been:53,;
as indicators	as:102,;
to distinguish	to:64,65,64,65,;
databases suggests	databases:80,;
are in	are:106,;
look at	look:97,110,97,110,;
and that	and:95,95,;
completely by	completely:81,81,;
s experimental	s:108,108,;
single virtual	single:98,98,;
been a	been:97,;
new schemes	new:50,;
of three	of:74,74,;
examples should	examples:46,;
selector the	selector:72,;
be translate	be:98,;
determine whether	determine:105,;
to date	to:38,38,;
other regard	other:70,;
coupling measure	coupling:60,60,;
information system	information:20,23,28,31,39,63,81,81,81,81,88,63,81,81,88,;
aims and	aims:55,;
sufficiently well	sufficiently:99,99,;
result show	result:107,;
more effective	more:65,65,65,65,;
test with	test:65,;
that integrates	that:87,;
each of	each:68,80,68,80,;
together using	together:112,;
network relationship	network:74,;
likelihoods searches	likelihoods:86,;
matching the	matching:77,77,;
dramatically over	dramatically:92,92,;
previously describe	previously:112,;
effort be	effort:47,;
areas as	areas:46,110,;
improving precision	improving:93,;
a great	a:41,72,81,41,81,;
contextual analysis	contextual:9,9,;
and databases	and:98,;
large utilities	large:58,;
are cocitation	are:109,;
into file	into:69,;
criteria we	criteria:97,;
the weights	the:97,;
convert to	convert:77,;
architectures utilize	architectures:83,;
expressed as	expressed:96,;
small databases	small:93,;
and operation	and:46,98,98,;
or schedules	or:37,;
user specified	user:63,;
the parameter	the:80,;
link through	link:91,;
is compared	is:65,111,;
word fragments	word:79,;
program assign	program:67,;
probability in	probability:67,;
have increase	have:92,;
keep the	keep:77,77,;
scientist have	scientist:72,;
improve productivity	improve:110,110,;
irrelevant have	irrelevant:50,;
circulation catalog	circulation:46,;
nonprofit library	nonprofit:74,74,;
specified it	specified:91,;
etc in	etc:50,50,;
to small	to:93,93,;
decision make	decision:70,;
by reduce	by:69,;
currently function	currently:94,;
specify print	specify:63,;
an adaptive	an:70,;
x is	x:80,;
g nelinet	g:66,66,;
be share	be:61,;
amalgam of	amalgam:48,48,;
medium frequency	medium:102,102,;
distinguish physical	distinguish:64,64,;
methods of	methods:4,32,34,36,88,;
collection consist	collection:60,;
s computer	s:108,108,;
large databases	large:93,;
requirement to	requirement:58,58,;
for document	for:43,61,83,43,83,;
cope with	cope:44,45,44,45,;
the thesaurus	the:69,69,;
library science	library:48,48,;
card catalog	card:56,56,;
economic aspect	economic:89,;
of database	of:81,92,92,;
usable information	usable:17,17,;
to aid	to:75,109,75,109,;
areas of	areas:109,;
these classification	these:50,;
document accord	document:67,;
orient natural	orient:85,;
such a	such:48,62,103,48,62,103,;
used or	used:90,;
algorithm may	algorithm:101,;
experiment involved	experiment:72,;
be ten	be:110,;
understood before	understood:42,;
networks the	networks:74,;
it blindly	it:63,63,;
most divergent	most:109,109,;
generally accept	generally:41,;
system will	system:88,88,;
expressed by	expressed:77,;
which will	which:54,73,54,73,;
of unstructured	of:103,103,;
discussed promising	discussed:85,;
term displays	term:69,;
detailed analysis	detailed:80,99,80,99,;
trees is	trees:104,;
obtaining large	obtaining:17,;
to cope	to:44,44,;
a natural	a:88,90,88,90,;
to validate	to:84,84,;
analysius approach	analysius:71,71,;
automated library	automated:58,;
this communication	this:68,68,;
create by	create:81,;
is relevant	is:70,105,;
reviewed with	reviewed:86,;
non relevant	non:65,84,65,84,;
perspective regard	perspective:90,;
environment and	environment:63,63,;
specific application	specific:46,63,;
conclude that	conclude:99,;
to encounter	to:5,5,;
distribution architectures	distribution:83,;
user from	user:33,33,;
be discussed	be:88,;
a log	a:80,80,;
includes the	includes:45,;
that ignoring	that:75,;
close look	close:110,;
be except	be:72,;
which has	which:52,;
sheldon document	sheldon:91,;
suggested criteria	suggested:97,;
describe that	describe:101,;
the proliferation	the:45,45,;
record descriptor	record:73,;
end users	end:98,99,;
in designing	in:63,;
could also	could:46,46,;
attempt at	attempt:32,;
speculation on	speculation:94,;
schedule of	schedule:37,;
others regard	others:70,;
manner in	manner:57,57,;
feedback give	feedback:104,;
paper pertain	paper:90,;
indicator type	indicator:91,91,;
extract significant	extract:71,71,;
used to	used:67,68,69,73,84,107,110,111,;
it determines	it:75,;
their ability	their:59,;
predictably difficult	predictably:72,72,;
some topic	some:90,90,;
to continue	to:96,96,;
and humanities	and:49,49,;
primary result	primary:87,87,;
automate analysis	automate:106,;
queries expressed	queries:96,;
draw be	draw:48,;
why be	why:50,;
descriptive titles	descriptive:1,;
a linguistic	a:81,81,;
by heuristics	by:67,;
this file	this:73,;
online microfiche	online:87,87,87,87,;
arithmetic more	arithmetic:101,101,;
a abstract	a:106,;
donau a	donau:85,85,;
to and	to:98,98,;
by parsing	by:77,;
for further	for:7,7,;
by users	by:60,;
encoding automatically	encoding:18,;
this subject	this:49,49,90,90,;
protocol for	protocol:83,;
and automate	and:99,110,;
developed the	developed:58,;
of selected	of:85,;
sequel numerous	sequel:82,82,;
feasibility of	feasibility:87,87,;
area the	area:110,110,;
control functions	control:81,;
currently implemented	currently:83,;
a intellectual	a:90,;
a appear	a:90,;
access and	access:89,89,89,89,;
s and	s:92,92,;
and concentrates	and:75,;
performance indicator	performance:59,;
every other	every:60,60,;
four authors	four:91,;
interactive systems	interactive:70,;
particular fields	particular:37,;
sdc lockheed	sdc:66,66,;
real user	real:63,63,;
is capable	is:103,;
the independent	the:58,58,;
university or	university:48,;
ought to	ought:97,97,;
what changes	what:54,;
test database	test:107,;
dealing with	dealing:35,;
grammar call	grammar:78,;
modular architecture	modular:85,85,;
a binary	a:73,73,;
develop for	develop:13,;
time it	time:105,105,;
small data	small:84,84,;
time is	time:71,;
particular area	particular:109,109,;
had si	had:91,;
the scientist	the:90,;
the theory	the:36,;
the well	the:86,86,;
boolean queries	boolean:84,;
university of	university:74,107,74,107,;
word fragment	word:79,;
and sheldon	and:91,91,;
probably english	probably:57,57,;
several years	several:92,;
a noun	a:77,77,77,77,;
from social	from:109,109,;
permute alphabetic	permute:69,;
derive for	derive:84,;
group boundary	group:109,;
has developed	has:58,;
are derived	are:84,;
very rare	very:102,102,;
obtain use	obtain:111,;
criteria is	criteria:105,;
developed by	developed:108,108,;
million online	million:92,92,;
n concepts	n:90,;
protocols for	protocols:83,;
a line	a:48,48,;
what have	what:49,53,90,49,53,90,;
as described	as:108,;
several promising	several:86,86,;
relatively hard	relatively:91,;
discuss with	discuss:71,;
what change	what:54,;
facility include	facility:87,;
natural languages	natural:88,;
automated transmission	automated:33,;
one hundred	one:44,44,;
with sample	with:107,107,;
image recognition	image:4,4,;
national boundary	national:47,;
networks in	networks:76,;
be consistent	be:93,;
makes use	makes:111,;
network the	network:74,;
scheme satisfy	scheme:95,;
an effective	an:109,;
the degree	the:90,109,90,109,;
document return	document:93,;
study was	study:107,;
measured in	measured:59,104,;
exploit the	exploit:79,;
test collections	test:104,;
we describe	we:73,73,;
useful tool	useful:41,41,;
a cost	a:89,99,89,99,;
used in	used:34,53,54,57,68,71,;
operation the	operation:87,;
covered completely	covered:81,;
routine jobs	routine:110,110,;
by compare	by:67,;
then save	then:7,;
appeared that	appeared:96,;
embodied in	embodied:106,;
store datum	store:38,;
define decision	define:70,70,;
similar concepts	similar:69,;
in communications	in:100,;
system i	system:65,65,;
his language	his:57,;
system a	system:87,87,;
not address	not:83,83,;
query that	query:79,;
more accurate	more:80,80,;
to compare	to:41,106,41,106,;
evaluate the	evaluate:60,60,;
partial relevance	partial:60,60,;
assess the	assess:105,;
user query	user:97,107,107,107,;
database when	database:86,86,;
references retrieval	references:72,;
often members	often:90,;
file creation	file:73,73,;
consistency and	consistency:82,82,;
the search	the:72,104,72,104,;
record contain	record:92,;
for scientist	for:72,;
heading be	heading:57,;
service will	service:66,;
specialized subject	specialized:90,90,;
performances were	performances:106,;
for example	for:90,90,;
order list	order:60,;
be demonstrate	be:61,82,82,87,;
today and	today:45,45,;
average two	average:44,44,;
the size	the:93,93,;
mapping of	mapping:109,109,;
common features	common:63,;
other word	other:48,;
cooperative nature	cooperative:74,74,;
user selectively	user:59,59,;
constitute the	constitute:100,100,;
based system	based:94,;
interface base	interface:99,;
to classify	to:67,67,;
of atn	of:78,78,;
order with	order:41,41,;
mechanisms for	mechanisms:96,;
write describe	write:43,;
be protocol	be:83,;
relative importance	relative:62,62,;
learning and	learning:70,70,;
be the	be:1,11,16,40,49,52,52,53,54,55,55,80,80,80,80,87,16,;
the different	the:104,104,;
that are	that:37,37,102,;
keying into	keying:58,;
heterogeneity and	heterogeneity:98,98,;
simplify operation	simplify:99,;
possible uses	possible:53,;
time be	time:71,;
product such	product:83,;
push toward	push:58,;
its ability	its:59,65,59,65,;
truncation be	truncation:63,;
therefore prefer	therefore:105,105,;
general this	general:45,45,;
papers pertaining	papers:90,;
several retrieval	several:77,77,;
in provide	in:38,;
find relevant	find:99,99,;
indexing systems	indexing:27,32,;
bibliographic files	bibliographic:66,;
areas to	areas:109,;
document space	document:64,64,;
bibliographic control	bibliographic:58,87,58,87,;
the technique	the:84,84,90,109,84,84,109,;
report and	report:85,;
carrier of	carrier:71,;
being performed	being:108,;
a integrated	a:75,;
one predictably	one:72,72,;
of people	of:39,;
authors tend	authors:91,;
pointer manipulations	pointer:101,;
general formulation	general:80,80,80,80,;
simplicity consistency	simplicity:82,82,;
discuss include	discuss:82,;
with fuzzy	with:95,95,;
they retrieval	they:77,;
syndetic relation	syndetic:69,;
a prototype	a:87,94,87,94,;
the development	the:49,107,49,107,;
query languages	query:88,;
concepts in	concepts:71,90,;
have the	have:49,49,;
tell i	tell:48,;
lists must	lists:38,;
described procedures	described:112,;
are collected	are:87,;
can this	can:56,;
place in	place:110,110,;
dictionaries which	dictionaries:81,;
arrange by	arrange:57,;
is there	is:14,41,41,47,50,;
be overview	be:91,;
structure is	structure:90,90,;
interface named	interface:98,;
structure in	structure:109,109,;
provide for	provide:33,99,33,99,;
entire article	entire:2,;
predominant mode	predominant:90,90,;
and first	and:82,82,;
level ensure	level:85,;
headings index	headings:38,;
offer a	offer:97,109,97,;
and hypothesis	and:78,78,;
compared several	compared:68,;
commercial system	commercial:63,63,63,63,;
without going	without:41,;
students researchers	students:39,;
in relationship	in:76,76,;
many rallying	many:70,;
consideration and	consideration:94,;
used at	used:49,;
used as	used:63,102,;
most interesting	most:75,75,;
skill from	skill:48,;
in experiment	in:61,;
group in	group:109,;
suggested for	suggested:102,;
knowledge about	knowledge:71,71,;
the conception	the:85,85,;
be any	be:47,;
traditional classification	traditional:50,50,;
for exchange	for:25,25,;
carry out	carry:107,;
queries recent	queries:97,;
human that	human:6,;
evaluate in	evaluate:79,;
like a	like:98,98,;
exist ibm	exist:83,;
control facilities	control:83,;
they ability	they:59,;
concept take	concept:90,90,;
versions of	versions:94,;
is provided	is:83,;
to draw	to:48,48,;
can information	can:48,48,;
theory be	theory:102,;
is any	is:47,;
on duncan	on:91,91,;
this case	this:109,109,;
modified for	modified:56,;
boolean structure	boolean:97,97,;
and progress	and:38,38,;
testing be	testing:84,;
redefine the	redefine:85,;
usual relevance	usual:1,1,;
search system	search:19,;
and record	and:77,97,97,;
be developed	be:70,;
a requirement	a:58,58,;
is analyzed	is:73,;
be sometimes	be:90,;
variable that	variable:109,109,;
some lexical	some:71,71,;
jointly cited	jointly:91,;
in scientific	in:11,11,;
implemented at	implemented:107,;
evaluate on	evaluate:63,;
paper have	paper:96,;
factory be	factory:110,;
in our	in:57,90,;
were conducted	were:92,;
be all	be:110,;
increasing attention	increasing:82,;
greater than	greater:68,;
a cascaded	a:78,;
text structure	text:71,71,;
normalization be	normalization:82,;
specific applications	specific:46,63,;
lawyers has	lawyers:72,;
experiment for	experiment:71,71,;
in focus	in:70,70,;
concern with	concern:81,90,108,;
identity but	identity:59,59,;
and time	and:87,;
validity of	validity:105,105,;
before being	before:98,;
hypothesis factoring	hypothesis:78,78,;
normal form	normal:82,;
groups with	groups:109,;
of similarity	of:60,60,;
collier present	collier:89,;
still a	still:48,;
of automated	of:26,32,58,100,100,;
a wide	a:99,99,;
of coding	of:34,;
between computer	between:6,;
the necessity	the:81,81,;
hospitals if	hospitals:53,;
previous stage	previous:78,78,;
attempt to	attempt:63,75,63,75,;
advantage include	advantage:82,;
is presently	is:59,;
coupling of	coupling:60,60,;
of 1712	of:60,60,;
large interactive	large:61,61,61,61,;
title other	title:91,;
or subject	or:57,57,;
that this	that:42,95,42,95,;
index by	index:68,;
a small	a:84,84,;
network and	network:74,76,;
boolean algebra	boolean:95,95,;
reduction factor	reduction:106,;
level librarian	level:39,;
a threshold	a:97,97,;
streams and	streams:83,;
this material	this:47,47,;
classification of	classification:50,50,;
information network	information:74,74,;
drawing structures	drawing:18,;
canadian system	canadian:92,;
a effective	a:109,;
algebra as	algebra:95,95,;
this two	this:64,76,;
we only	we:64,64,;
initial set	initial:111,111,;
citing at	citing:91,;
improve evaluation	improve:97,;
exchange across	exchange:83,83,;
their office	their:110,;
an easy	an:41,;
term relevance	term:102,102,;
boundaries what	boundaries:47,;
document may	document:65,95,103,95,103,;
structure be	structure:90,90,;
be accurately	be:105,;
segment are	segment:85,;
gerunds in	gerunds:67,;
to attach	to:97,97,;
some common	some:63,63,;
as oppose	as:2,83,102,106,;
of keying	of:58,;
authors prominent	authors:91,;
of ca	of:67,67,67,67,67,67,;
generated from	generated:104,;
testing is	testing:84,;
search terms	search:104,104,104,;
the former	the:70,70,;
is their	is:95,;
a smart	a:84,84,;
am looking	am:45,;
the conclusion	the:85,100,100,;
small database	small:93,;
and development	and:85,85,;
system with	system:97,;
concept combination	concept:90,90,;
and stumbling	and:40,;
that that	that:61,109,;
as providing	as:70,;
in medical	in:53,53,;
filing machine	filing:103,103,;
finding information	finding:56,;
machine matching	machine:19,19,;
query the	query:65,65,;
display as	display:90,;
the horizontal	the:85,85,;
examples of	examples:94,;
also be	also:46,65,65,98,46,65,65,98,;
model has	model:82,;
group of	group:90,91,91,;
extract and	extract:77,;
model of	model:65,65,;
relevant paper	relevant:60,60,;
technology to	technology:54,54,;
basis necessary	basis:87,;
the competitive	the:74,74,;
service new	service:58,;
tree connect	tree:104,;
was built	was:99,;
inc have	inc:74,;
then design	then:70,;
structure of	structure:73,90,73,90,;
show to	show:104,;
this classification	this:50,;
library services	library:58,;
automate system	automate:53,57,;
competitive and	competitive:74,74,;
and land	and:91,91,91,91,;
accurately represent	accurately:105,;
aramaic the	aramaic:93,93,;
phrases in	phrases:71,;
attach a	attach:97,97,;
for increase	for:99,;
of an	of:47,51,63,68,84,93,98,103,105,111,111,;
way that	way:61,61,;
relations between	relations:90,;
can help	can:45,45,;
to introduce	to:54,54,;
particular document	particular:103,103,;
mis while	mis:70,70,;
file organization	file:65,73,65,73,;
correctly retrieve	correctly:105,;
add to	add:107,;
systems computerized	systems:27,;
all terms	all:110,;
or impractical	or:63,63,;
developed to	developed:39,67,;
unfair to	unfair:89,89,;
online from	online:109,109,;
in information	in:10,16,41,43,50,64,68,101,10,16,41,43,50,64,68,101,;
control costs	control:87,;
administrative system	administrative:83,83,;
allows users	allows:98,;
user queries	user:97,107,;
another with	another:40,40,;
to enhance	to:101,101,;
matters often	matters:90,;
chart formatted	chart:69,;
approaches are	approaches:68,;
implemented in	implemented:83,;
colleges groups	colleges:90,;
plants and	plants:110,;
in computerized	in:34,34,;
are presently	are:44,;
results what	results:53,;
they government	they:48,;
word select	word:72,;
program provide	program:24,;
or classify	or:37,;
limited number	limited:68,68,;
completely unnecessary	completely:50,50,;
point out	point:58,85,58,;
indexed descriptor	indexed:73,;
presently work	presently:7,;
entry print	entry:57,;
fragmentation in	fragmentation:58,58,;
time of	time:112,112,;
evaluation of	evaluation:13,60,63,85,87,99,13,63,87,99,;
an inverted	an:68,112,;
the cocitations	the:109,;
disoss and	disoss:83,83,;
become unnecessarily	become:70,70,;
all equipment	all:87,87,;
each segment	each:85,85,;
parameter and	parameter:80,;
presented some	presented:89,;
library automation	library:74,74,;
of exist	of:99,;
feedback leads	feedback:93,;
products these	products:83,;
can a	can:53,;
larger databases	larger:93,;
present be	present:89,;
instruction for	instruction:108,108,;
facilities in	facilities:101,;
spanning tree	spanning:104,;
fast computational	fast:101,101,;
seemed likely	seemed:91,;
thresholds and	thresholds:97,;
now push	now:58,;
be carry	be:107,;
to keep	to:77,77,;
terms synonymous	terms:93,;
need for	need:5,11,23,24,59,5,11,23,59,;
of the	of:1,36,38,42,42,43,45,47,49,52,53,54,55,56,59,60,62,63,64,65,65,65,67,67,68,68,68,68,69,69,70,71,71,71,71,71,73,74,74,75,77,78,78,78,79,80,80,80,80,80,82,83,83,85,85,85,85,85,85,86,87,87,87,87,89,89,90,90,90,91,91,91,93,93,94,94,95,97,97,99,99,99,100,102,102,102,103,106,106,107,107,107,107,108,110,111,111,111,112,112,112,1,36,38,42,42,43,45,47,49,52,53,54,55,56,59,60,62,63,64,65,65,65,67,67,68,68,68,68,69,69,70,71,71,71,71,71,73,74,74,75,77,78,78,78,79,80,80,80,80,80,82,83,83,85,85,85,85,85,85,86,87,87,87,87,89,89,90,90,90,91,91,91,93,93,94,94,95,97,97,99,99,99,100,102,102,102,103,106,106,107,107,107,107,108,110,111,111,111,112,112,112,;
which appear	which:50,50,;
quickly retrieved	quickly:103,;
of network	of:66,66,74,74,;
be ask	be:88,;
documents primary	documents:106,;
the techniques	the:90,;
converted to	converted:77,;
at present	at:47,94,47,94,;
system may	system:98,;
be communication	be:6,;
led toward	led:58,;
databases contain	databases:92,;
documents via	documents:107,;
however transformation	however:64,64,;
recall ratios	recall:72,;
architecture and	architecture:70,83,70,83,;
is measured	is:104,;
on query	on:65,65,;
been tested	been:37,;
to user	to:108,;
book index	book:59,;
training will	training:5,5,;
be mostly	be:81,;
that the	that:65,68,70,71,79,80,80,91,96,106,109,109,65,68,70,71,79,80,80,91,96,106,109,109,;
searching based	searching:65,;
5520 administrative	5520:83,83,;
using 11	using:80,;
the status	the:40,54,40,54,;
was conducted	was:106,;
and peripherality	and:109,109,;
other in	other:37,37,;
automated document	automated:111,;
term s	term:84,84,;
other it	other:68,;
each key	each:77,77,;
map shows	map:109,;
view of	view:45,81,89,45,81,89,;
the propose	the:79,;
the observed	the:80,;
it look	it:89,;
queries had	queries:60,;
and evidence	and:101,101,;
assign approximately	assign:67,;
be see	be:63,86,86,;
the high	the:110,110,;
the implementation	the:65,103,65,103,;
product this	product:83,;
for information	for:11,45,57,11,45,57,;
program results	program:67,;
of documentation	of:40,40,;
areas necessitated	areas:49,;
the probabilities	the:67,;
problems are	problems:5,81,86,;
purpose domain	purpose:85,85,;
and queries	and:106,;
normalization of	normalization:77,;
indexing quality	indexing:105,105,105,105,;
library network	library:66,74,74,76,76,66,74,;
productivity by	productivity:110,110,;
all levels	all:39,;
manhy area	manhy:110,;
and operations	and:46,;
for future	for:49,85,49,85,;
knowledge for	knowledge:71,71,;
phrases as	phrases:71,;
search length	search:106,106,;
the librarian	the:54,;
responsibility where	responsibility:78,78,;
may in	may:101,101,;
various fields	various:90,;
on a	on:40,56,61,61,85,93,95,97,110,56,61,61,85,95,97,110,;
be say	be:48,;
documentation on	documentation:40,40,;
term synonymous	term:93,;
supplemented by	supplemented:67,67,;
and its	and:45,52,83,45,52,83,;
of evaluate	of:88,;
related and	related:92,92,;
the shift	the:80,80,;
request in	request:62,98,62,;
find information	find:56,;
other methods	other:4,;
include all	include:87,;
organize material	organize:37,;
the similarity	the:60,68,60,68,;
blindly in	blindly:63,63,;
machine translate	machine:36,;
system generalize	system:95,;
operational setting	operational:107,107,;
be arbitrarily	be:109,;
conditions with	conditions:99,;
microcomputer base	microcomputer:94,;
to generate	to:68,68,;
application and	application:83,;
the mapping	the:109,109,;
automate full	automate:106,;
model is	model:65,82,;
occur in	occur:90,;
frequency with	frequency:90,90,;
paper produce	paper:60,;
model it	model:65,;
datum would	datum:91,;
omitted we	omitted:64,;
of inference	of:75,;
request while	request:62,62,;
yields performance	yields:59,;
our view	our:81,;
a entirely	a:97,;
have information	have:49,;
asked whether	asked:88,;
are suggested	are:102,;
together in	together:90,90,;
of criterion	of:95,;
or cross	or:67,67,;
effective unit	effective:109,109,;
oclc services	oclc:74,;
retrieval technique	retrieval:49,49,;
an open	an:86,;
problems and	problems:1,32,40,;
are illustrated	are:85,;
systems dss	systems:70,70,;
effect reduction	effect:68,;
query two	query:60,60,;
we approach	we:90,;
to others	to:70,;
this parser	this:75,75,;
and natural	and:92,92,;
assistance to	assistance:108,108,;
suppose further	suppose:90,90,;
to learn	to:39,39,39,39,;
vocabulary review	vocabulary:69,69,;
cluster search	cluster:65,65,65,;
general social	general:91,91,;
examines the	examines:74,;
furthermore it	furthermore:75,75,;
especially distribute	especially:81,;
and likelihood	and:86,;
they meaning	they:75,;
present in	present:82,85,;
two measures	two:60,;
compute and	compute:67,;
serve scientist	serve:90,;
of computerized	of:29,29,;
shows that	shows:68,80,;
lawyer have	lawyer:72,;
the 80	the:67,67,;
offering some	offering:83,;
and retraining	and:39,;
been some	been:47,49,;
executives will	executives:39,;
and concerns	and:1,;
software procedures	software:87,;
